date,open,high,low,close,volume,outstanding_share,turnover
2002-05-15,31.0,31.6,27.8,27.94,18094659.0,25000000.0,0.72378636
2002-05-16,27.5,28.37,27.08,27.72,4128919.0,25000000.0,0.16515676
2002-05-17,27.72,28.2,27.11,27.5,2675979.0,25000000.0,0.10703916
2002-05-20,27.3,27.8,27.1,27.58,1408514.0,25000000.0,0.05634056
2002-05-21,28.0,28.48,27.56,27.95,2353544.0,25000000.0,0.09414176
2002-05-22,27.98,28.2,27.18,27.18,1470341.0,25000000.0,0.05881364
2002-05-23,27.3,27.5,26.18,26.27,2045774.0,25000000.0,0.08183096
2002-05-24,26.27,26.46,25.7,25.74,1066701.0,25000000.0,0.04266804
2002-05-27,26.0,26.3,25.78,26.29,543188.0,25000000.0,0.02172752
2002-05-28,26.2,26.64,26.09,26.15,434745.0,25000000.0,0.0173898
2002-05-29,26.1,26.1,25.11,25.16,781324.0,25000000.0,0.03125296
2002-05-30,25.3,25.59,25.1,25.47,799714.0,25000000.0,0.03198856
2002-05-31,25.33,25.68,25.0,25.05,420201.0,25000000.0,0.01680804
2002-06-03,25.01,25.01,24.28,24.35,759700.0,25000000.0,0.030388
2002-06-04,24.44,24.6,24.07,24.39,452711.0,25000000.0,0.01810844
2002-06-05,24.38,24.38,24.03,24.11,365530.0,25000000.0,0.0146212
2002-06-06,24.18,25.45,24.02,25.06,809251.0,25000000.0,0.03237004
2002-06-07,25.01,25.4,24.7,25.0,749046.0,25000000.0,0.02996184
2002-06-10,25.0,25.0,24.5,24.57,233790.0,25000000.0,0.0093516
2002-06-11,24.51,24.85,24.51,24.63,139409.0,25000000.0,0.00557636
2002-06-12,24.62,24.87,24.19,24.64,201675.0,25000000.0,0.008067
2002-06-13,24.66,24.72,24.25,24.26,234890.0,25000000.0,0.0093956
2002-06-14,24.05,24.25,23.6,23.61,411523.0,25000000.0,0.01646092
2002-06-17,23.5,23.6,23.18,23.53,308933.0,25000000.0,0.01235732
2002-06-19,23.98,23.98,23.7,23.77,482334.0,25000000.0,0.01929336
2002-06-20,23.74,24.1,23.61,24.0,297370.0,25000000.0,0.0118948
2002-06-21,23.96,24.7,23.81,24.64,638848.0,25000000.0,0.02555392
2002-06-24,27.1,27.1,26.35,27.1,3853152.0,25000000.0,0.15412608
2002-06-25,27.08,27.08,25.9,26.33,1670038.0,25000000.0,0.06680152
2002-06-26,26.08,26.78,25.65,26.38,1051968.0,25000000.0,0.04207872
2002-06-27,26.29,26.42,25.82,25.99,479594.0,25000000.0,0.01918376
2002-06-28,25.95,26.39,25.5,25.68,599481.0,25000000.0,0.02397924
2002-07-01,25.8,26.28,25.21,25.61,327328.0,25000000.0,0.01309312
2002-07-02,25.61,25.87,25.31,25.79,153416.0,25000000.0,0.00613664
2002-07-03,25.76,25.99,25.48,25.58,224950.0,25000000.0,0.008998
2002-07-04,25.58,25.7,25.3,25.51,346087.0,25000000.0,0.01384348
2002-07-05,25.57,26.5,25.33,25.97,456080.0,25000000.0,0.0182432
2002-07-08,25.96,26.17,25.83,25.94,182241.0,25000000.0,0.00728964
2002-07-09,26.01,26.18,25.8,25.81,142056.0,25000000.0,0.00568224
2002-07-10,25.8,26.05,25.4,25.5,186600.0,25000000.0,0.007464
2002-07-11,25.35,25.76,25.35,25.45,144220.0,25000000.0,0.0057688
2002-07-12,25.78,25.78,25.47,25.55,109560.0,25000000.0,0.0043824
2002-07-15,25.65,25.65,25.3,25.33,182790.0,25000000.0,0.0073116
2002-07-16,25.3,25.48,25.1,25.16,174930.0,25000000.0,0.0069972
2002-07-17,25.23,25.23,24.68,24.96,290825.0,25000000.0,0.011633
2002-07-18,25.100563153659998,25.100563153659998,24.79935639581608,24.959999999999503,121276.0,25000000.0,0.00485104
2002-07-19,24.94995977473804,25.100563153659998,24.79935639581608,24.990120675783896,91330.0,25000000.0,0.0036532
2002-07-22,24.98008045052243,24.98008045052243,24.367626709573127,24.437908286403374,188900.0,25000000.0,0.007556
2002-07-23,24.39774738535752,24.578471440063872,24.29734513274288,24.47806918744923,109801.0,25000000.0,0.00439204
2002-07-24,24.47806918744923,24.789316170554617,24.39774738535752,24.628672566371193,108850.0,25000000.0,0.004354
2002-07-25,24.97004022526097,24.97004022526097,24.508189863233625,24.79935639581608,91599.0,25000000.0,0.00366396
2002-07-26,24.869637972646327,25.78329847143955,24.869637972646327,25.17084473049025,316783.0,25000000.0,0.01267132
2002-07-29,25.070442477875606,25.291327433627817,24.89975864843072,25.20096540627464,129182.0,25000000.0,0.00516728
2002-07-30,25.17084473049025,25.25116653258196,25.00016090104536,25.100563153659998,115158.0,25000000.0,0.00460632
2002-07-31,25.291327433627817,25.30136765888928,24.89975864843072,24.89975864843072,335773.0,25000000.0,0.01343092
2002-08-01,24.89975864843072,24.98008045052243,24.829477071600472,24.94995977473804,67367.0,25000000.0,0.00269468
2002-08-02,24.89975864843072,25.331488334673672,24.89975864843072,25.25116653258196,129596.0,25000000.0,0.00518384
2002-08-05,25.28128720836635,25.28128720836635,25.100563153659998,25.160804505228782,81341.0,25000000.0,0.00325364
